Entity,Code,Year,Same sex marriage and civil unions legal
Afghanistan,AFG,2019,Same-sex marriage not legally recognized
Albania,ALB,2019,Same-sex marriage not legally recognized
Algeria,DZA,2019,Same-sex marriage not legally recognized
American Samoa,ASM,2019,Same-sex marriage not legally recognized
Andorra,AND,2005,Some rights to same-sex couples
Angola,AGO,2019,Same-sex marriage not legally recognized
Antigua and Barbuda,ATG,2019,Same-sex marriage not legally recognized
Argentina,ARG,2010,Same-sex marriage legal
Armenia,ARM,2019,Same-sex marriage not legally recognized
Aruba,ABW,2019,Same-sex marriage not legally recognized
Australia,AUS,2017,Same-sex marriage legal
Austria,AUT,2019,Same-sex marriage legal
Azerbaijan,AZE,2019,Same-sex marriage not legally recognized
Bahamas,BHS,2019,Same-sex marriage not legally recognized
Bahrain,BHR,2019,Same-sex marriage not legally recognized
Bangladesh,BGD,2019,Same-sex marriage not legally recognized
Barbados,BRB,2019,Same-sex marriage not legally recognized
Belarus,BLR,2019,Same-sex marriage not legally recognized
Belgium,BEL,2003,Same-sex marriage legal
Belize,BLZ,2019,Same-sex marriage not legally recognized
Benin,BEN,2019,Same-sex marriage not legally recognized
Bermuda,BMU,2019,Same-sex marriage not legally recognized
Bhutan,BTN,2019,Same-sex marriage not legally recognized
Bolivia,BOL,2019,Same-sex marriage not legally recognized
Bosnia and Herzegovina,BIH,2019,Same-sex marriage not legally recognized
Botswana,BWA,2019,Same-sex marriage not legally recognized
Brazil,BRA,2013,Same-sex marriage legal
British Virgin Islands,VGB,2019,Same-sex marriage not legally recognized
Brunei,BRN,2019,Same-sex marriage not legally recognized
Bulgaria,BGR,2019,Same-sex marriage not legally recognized
Burkina Faso,BFA,2019,Same-sex marriage not legally recognized
Burundi,BDI,2019,Same-sex marriage not legally recognized
Cambodia,KHM,2019,Same-sex marriage not legally recognized
Cameroon,CMR,2019,Same-sex marriage not legally recognized
Canada,CAN,2005,Same-sex marriage legal
Cape Verde,CPV,2019,Same-sex marriage not legally recognized
Cayman Islands,CYM,2019,Same-sex marriage not legally recognized
Central African Republic,CAF,2019,Same-sex marriage not legally recognized
Chad,TCD,2019,Same-sex marriage not legally recognized
Channel Islands,OWID_CIS,2019,Same-sex marriage not legally recognized
Chile,CHL,2015,Some rights to same-sex couples
China,CHN,2019,Same-sex marriage not legally recognized
Colombia,COL,2016,Same-sex marriage legal
Comoros,COM,2019,Same-sex marriage not legally recognized
Congo,COG,2019,Same-sex marriage not legally recognized
Costa Rica,CRI,2019,Same-sex marriage not legally recognized
Cote d'Ivoire,CIV,2019,Same-sex marriage not legally recognized
Croatia,HRV,2014,Some rights to same-sex couples
Cuba,CUB,2019,Same-sex marriage not legally recognized
Curacao,CUW,2019,Same-sex marriage not legally recognized
Cyprus,CYP,2015,Some rights to same-sex couples
Czechia,CZE,2006,Some rights to same-sex couples
Democratic Republic of Congo,COD,2019,Same-sex marriage not legally recognized
Denmark,DNK,2012,Same-sex marriage legal
Djibouti,DJI,2019,Same-sex marriage not legally recognized
Dominica,DMA,2019,Same-sex marriage not legally recognized
Dominican Republic,DOM,2019,Same-sex marriage not legally recognized
Ecuador,ECU,2019,Same-sex marriage legal
Egypt,EGY,2019,Same-sex marriage not legally recognized
El Salvador,SLV,2019,Same-sex marriage not legally recognized
Equatorial Guinea,GNQ,2019,Same-sex marriage not legally recognized
Eritrea,ERI,2019,Same-sex marriage not legally recognized
Estonia,EST,2016,Some rights to same-sex couples
Eswatini,SWZ,2019,Same-sex marriage not legally recognized
Ethiopia,ETH,2019,Same-sex marriage not legally recognized
Faeroe Islands,FRO,2019,Same-sex marriage not legally recognized
Fiji,FJI,2019,Same-sex marriage not legally recognized
Finland,FIN,2015,Same-sex marriage legal
France,FRA,2013,Same-sex marriage legal
French Guiana,GUF,2019,Same-sex marriage not legally recognized
French Polynesia,PYF,2019,Same-sex marriage not legally recognized
French Southern Territories,ATF,2019,Same-sex marriage not legally recognized
Gabon,GAB,2019,Same-sex marriage not legally recognized
Gambia,GMB,2019,Same-sex marriage not legally recognized
Georgia,GEO,2019,Same-sex marriage not legally recognized
Germany,DEU,2017,Same-sex marriage legal
Ghana,GHA,2019,Same-sex marriage not legally recognized
Gibraltar,GIB,2019,Same-sex marriage not legally recognized
Greece,GRC,2015,Some rights to same-sex couples
Greenland,GRL,2015,Same-sex marriage legal
Grenada,GRD,2019,Same-sex marriage not legally recognized
Guam,GUM,2019,Same-sex marriage not legally recognized
Guatemala,GTM,2019,Same-sex marriage not legally recognized
Guinea,GIN,2019,Same-sex marriage not legally recognized
Guinea-Bissau,GNB,2019,Same-sex marriage not legally recognized
Guyana,GUY,2019,Same-sex marriage not legally recognized
Haiti,HTI,2019,Same-sex marriage not legally recognized
Honduras,HND,2019,Same-sex marriage not legally recognized
Hong Kong,HKG,2019,Same-sex marriage not legally recognized
Hungary,HUN,2007,Some rights to same-sex couples
Iceland,ISL,2010,Same-sex marriage legal
India,IND,2019,Same-sex marriage not legally recognized
Indonesia,IDN,2019,Same-sex marriage not legally recognized
Iran,IRN,2019,Same-sex marriage not legally recognized
Iraq,IRQ,2019,Same-sex marriage not legally recognized
Ireland,IRL,2015,Same-sex marriage legal
Isle of Man,IMN,2019,Same-sex marriage not legally recognized
Israel,ISR,2006,Some rights to same-sex couples
Italy,ITA,2016,Some rights to same-sex couples
Jamaica,JAM,2019,Same-sex marriage not legally recognized
Japan,JPN,2019,Same-sex marriage not legally recognized
Jordan,JOR,2019,Same-sex marriage not legally recognized
Kazakhstan,KAZ,2019,Same-sex marriage not legally recognized
Kenya,KEN,2019,Same-sex marriage not legally recognized
Kiribati,KIR,2019,Same-sex marriage not legally recognized
Kosovo,OWID_KOS,2019,Same-sex marriage not legally recognized
Kuwait,KWT,2019,Same-sex marriage not legally recognized
Kyrgyzstan,KGZ,2019,Same-sex marriage not legally recognized
Laos,LAO,2019,Same-sex marriage not legally recognized
Latvia,LVA,2019,Same-sex marriage not legally recognized
Lebanon,LBN,2019,Same-sex marriage not legally recognized
Lesotho,LSO,2019,Same-sex marriage not legally recognized
Liberia,LBR,2019,Same-sex marriage not legally recognized
Libya,LBY,2019,Same-sex marriage not legally recognized
Liechtenstein,LIE,2011,Some rights to same-sex couples
Lithuania,LTU,2019,Same-sex marriage not legally recognized
Luxembourg,LUX,2014,Same-sex marriage legal
Macao,MAC,2019,Same-sex marriage not legally recognized
