"genero","ano","pop_adulta","uf"
"Homem",2014,2891835,"PA"
"Homem",2015,2948987,"PA"
"Homem",2016,3004402,"PA"
"Homem",2017,3058046,"PA"
"Homem",2018,3110933,"PA"
"Homem",2019,3163035,"PA"
"Mulher",2013,2826017,"PA"
"Mulher",2014,2888714,"PA"
"Mulher",2015,2950273,"PA"
"Mulher",2016,3010386,"PA"
"Mulher",2017,3069017,"PA"
"Mulher",2018,3127128,"PA"
"Mulher",2019,3184695,"PA"
"Homem",2013,1406167,"PB"
"Homem",2014,1422067,"PB"
"Homem",2015,1437557,"PB"
"Homem",2016,1452897,"PB"
"Homem",2017,1467527,"PB"
"Homem",2018,1481312,"PB"
"Homem",2019,1494526,"PB"
"Mulher",2013,1550988,"PB"
"Mulher",2014,1569450,"PB"
"Mulher",2015,1587534,"PB"
"Mulher",2016,1605648,"PB"
"Mulher",2017,1622930,"PB"
"Mulher",2018,1639261,"PB"
"Mulher",2019,1654924,"PB"
"Homem",2013,3254867,"PE"
"Homem",2014,3298286,"PE"
"Homem",2015,3340337,"PE"
"Homem",2016,3381623,"PE"
"Homem",2017,3420033,"PE"
"Homem",2018,3457694,"PE"
"Homem",2019,3494774,"PE"
"Mulher",2013,3651712,"PE"
"Mulher",2014,3701079,"PE"
"Mulher",2015,3748764,"PE"
"Mulher",2016,3795572,"PE"
"Mulher",2017,3839089,"PE"
"Mulher",2018,3881393,"PE"
"Mulher",2019,3922693,"PE"
"Homem",2013,1152794,"PI"
"Homem",2014,1163482,"PI"
"Homem",2015,1173622,"PI"
"Homem",2016,1184430,"PI"
"Homem",2017,1193749,"PI"
"Homem",2018,1201187,"PI"
"Homem",2019,1208013,"PI"
"Mulher",2013,1243377,"PI"
"Mulher",2014,1257813,"PI"
"Mulher",2015,1271809,"PI"
"Mulher",2016,1286745,"PI"
"Mulher",2017,1300212,"PI"
"Mulher",2018,1311806,"PI"
"Mulher",2019,1322747,"PI"
"Homem",2013,4140825,"PR"
"Homem",2014,4195380,"PR"
"Homem",2015,4246663,"PR"
"Homem",2016,4296463,"PR"
"Homem",2017,4341206,"PR"
"Homem",2018,4382183,"PR"
"Homem",2019,4420375,"PR"
"Mulher",2013,4387174,"PR"
"Mulher",2014,4447384,"PR"
"Mulher",2015,4504475,"PR"
"Mulher",2016,4560133,"PR"
"Mulher",2017,4610935,"PR"
"Mulher",2018,4658113,"PR"
"Mulher",2019,4702584,"PR"
"Homem",2013,6216200,"RJ"
"Homem",2014,6289763,"RJ"
"Homem",2015,6357834,"RJ"
"Homem",2016,6420290,"RJ"
"Homem",2017,6475762,"RJ"
"Homem",2018,6528318,"RJ"
"Homem",2019,6579835,"RJ"
"Mulher",2013,7034526,"RJ"
"Mulher",2014,7111701,"RJ"
"Mulher",2015,7182575,"RJ"
"Mulher",2016,7246653,"RJ"
"Mulher",2017,7303478,"RJ"
"Mulher",2018,7356971,"RJ"
"Mulher",2019,7408969,"RJ"
"Homem",2013,1224146,"RN"
"Homem",2014,1243728,"RN"
"Homem",2015,1262434,"RN"
"Homem",2016,1280102,"RN"
"Homem",2017,1296785,"RN"
"Homem",2018,1313055,"RN"
"Homem",2019,1328851,"RN"
"Mulher",2013,1316058,"RN"
"Mulher",2014,1337162,"RN"
"Mulher",2015,1357491,"RN"
