ano,genero,uf,numero,pop_adulta,tx_pop
2013,Feminino,SC,81,2669162,3.0346603166087336
2017,Feminino,BA,81,5951108,1.3610910774934684
2013,Feminino,PR,80,4387174,1.8234973128487721
2013,Masculino,CE,80,3192792,2.5056439630267175
2016,Masculino,BA,79,5461787,1.446413051259597
2019,Feminino,GO,77,2795343,2.754581459234162
2014,Masculino,PR,77,4195380,1.835352220776187
2013,Masculino,RS,76,4260224,1.783943755070156
2016,Masculino,GO,75,2574625,2.913045589163471
2013,Feminino,RS,74,4599431,1.608894665448835
2016,Feminino,MS,74,1044570,7.084254765118661
2017,Masculino,GO,74,2619480,2.8249881655901175
2015,Masculino,PE,74,3340337,2.215345337910516
2016,Feminino,DF,73,1200369,6.081463283373696
2017,Feminino,MS,73,1059331,6.891141673376877
2014,Masculino,GO,72,2481057,2.90198895067707
2016,Masculino,DF,72,1070315,6.726991586588994
2019,Feminino,RN,71,1431108,4.961190909421231
2018,Feminino,RN,69,1413582,4.881216653862316
2014,Masculino,DF,68,1024043,6.6403461573390965
2018,Masculino,ES,66,1527255,4.321478731449562
2018,Feminino,PB,64,1639261,3.9041982942313638
2015,Feminino,DF,64,1176020,5.442084318293906
2018,Feminino,ES,63,1605867,3.9231144297753175
2019,Masculino,PA,63,3163035,1.9917579160521461
2017,Feminino,PA,62,3069017,2.0201908298324835
2015,Feminino,BA,61,5822171,1.0477191411932079
2014,Feminino,DF,61,1152021,5.295042364679117
2017,Masculino,BA,59,5507082,1.0713477663851745
2014,Feminino,CE,59,3519891,1.6761882683298999
2019,Masculino,GO,58,2705822,2.143526070820623
2014,Feminino,GO,58,2558403,2.2670392428401627
2014,Feminino,PE,56,3701079,1.5130722689248188
2018,Feminino,AL,56,1326272,4.222361627177532
2015,Masculino,DF,56,1046900,5.3491259910211095
2019,Masculino,ES,56,1548580,3.6162161464050935
2015,Masculino,BA,56,5412719,1.034600170450378
2018,Masculino,MS,56,1040242,5.3833627175215
2015,Masculino,PA,55,2948987,1.865047217909065
2015,Feminino,AM,54,1347453,4.007560931624331
2019,Masculino,RN,53,1328851,3.988408030697196
2013,Masculino,BA,53,5301146,0.999783820328661
2019,Feminino,AL,53,1341877,3.949691365154928
2017,Masculino,PE,51,3420033,1.4912136812714964
2015,Masculino,MA,50,2420640,2.065569436182167
2017,Masculino,PB,49,1467527,3.3389504929040488
2017,Feminino,ES,49,1582856,3.095670105176971
2016,Masculino,PE,48,3381623,1.4194367615786858
2013,Masculino,PE,48,3254867,1.4747146350373148
2017,Feminino,RN,48,1395535,3.439541107890522
2013,Feminino,DF,46,1127847,4.078567394336289
2013,Feminino,BA,46,5677937,0.8101534060698454
2019,Feminino,AM,46,1473608,3.121590002225829
2015,Feminino,MS,45,1029042,4.3729993527960955
2018,Masculino,RN,45,1313055,3.4271222454504957
2014,Masculino,MA,45,2389146,1.8835182111097437
2017,Masculino,MS,44,1026887,4.284794724249114
2015,Masculino,AM,44,1343799,3.274299206949849
2015,Masculino,ES,42,1459639,2.877423801364584
2018,Masculino,PB,41,1481312,2.7678166382234126
2016,Feminino,PA,41,3010386,1.3619515902611823
2014,Masculino,ES,41,1435747,2.855656323850929
2014,Feminino,BA,40,5751636,0.6954543020455398
2017,Feminino,PB,40,1622930,2.464678082233984
2013,Feminino,PE,40,3651712,1.0953766343019384
2016,Feminino,AM,39,1380931,2.8241816571573817
2018,Masculino,AL,39,1178488,3.3093251691998558
2017,Masculino,PA,38,3058046,1.242623557657406
2015,Feminino,ES,37,1534498,2.4112120054897432
2013,Masculino,DF,37,1001068,3.6960526158063187
2019,Masculino,MS,35,1053691,3.3216569183944817
2017,Masculino,ES,35,1505482,2.3248368296665123
2016,Masculino,PA,35,3004402,1.164957286008996
2017,Feminino,AL,34,1309428,2.596553609667733
2015,Feminino,PA,32,2950273,1.0846453870540116
2016,Feminino,RN,32,1377027,2.3238469543443956
2016,Masculino,MS,32,1013656,3.1568895167591373
2013,Feminino,GO,31,2506282,1.2368919379383485
2014,Masculino,MS,31,984649,3.148330014045614
2015,Feminino,PB,31,1587534,1.9527140836038785
2015,Feminino,RN,31,1357491,2.283624716480625
2016,Masculino,AM,31,1376163,2.2526401305659287
2013,Feminino,MS,31,995253,3.114785888613247
2018,Feminino,MT,31,1296012,2.3919531609275224
2019,Masculino,MT,31,1349264,2.2975488859111337
2018,Feminino,AM,31,1443746,2.1471920961166298
2019,Feminino,MT,30,1316572,2.2786448443381753
2016,Masculino,ES,30,1483222,2.0226237205219446
2016,Feminino,ES,30,1559332,1.92390074724305
2016,Feminino,PB,30,1605648,1.8684045320020328
2019,Feminino,RO,29,676066,4.2895220289143365
2014,Masculino,PA,29,2891835,1.0028234667607245
2019,Masculino,PB,29,1494526,1.9404145528415029
2013,Masculino,GO,29,2431111,1.1928702556156425
2015,Feminino,AL,29,1273356,2.2774463700646166
2014,Feminino,PA,29,2888714,1.0039069288271527
2016,Masculino,RN,28,1280102,2.187325697483482
2016,Masculino,PB,28,1452897,1.927184101832408
2018,Feminino,PI,28,1311806,2.134461955502567
2014,Feminino,RN,27,1337162,2.019201861853687
2019,Feminino,PI,27,1322747,2.0412066706634
2014,Feminino,MA,25,2508151,0.9967501956620634
2014,Feminino,AM,25,1314119,1.902415230279754
2019,Masculino,AL,25,1189863,2.1010822254326755
2015,Feminino,MA,24,2547235,0.9421981089298789
2017,Masculino,RN,23,1296785,1.7736170606538477
2018,Feminino,SE,23,920244,2.4993371323257745
2015,Masculino,MS,23,999648,2.300809885079548
2013,Feminino,ES,23,1483097,1.550808881684745
2017,Feminino,AM,22,1412859,1.5571263657590741
2019,Feminino,MA,22,2686814,0.8188136581095676
2014,Feminino,ES,22,1509189,1.4577365724239972
2019,Masculino,AM,22,1464687,1.5020273956142165
2017,Feminino,MT,21,1275778,1.6460544075850188
2019,Feminino,SE,21,932810,2.2512623149408775
2013,Feminino,RN,20,1316058,1.5196898616930257
2013,Masculino,ES,20,1411106,1.4173279682745308
2018,Masculino,SE,20,833423,2.3997417877836345
2014,Masculino,RN,20,1243728,1.6080686452343276
2016,Feminino,AL,20,1291692,1.5483567290035085
2014,Feminino,MS,19,1012454,1.8766284690464952
2014,Masculino,AM,19,1311717,1.448483171293808
2015,Masculino,AL,19,1139180,1.667866360013343
2017,Feminino,PI,18,1300212,1.384389622615389
2018,Feminino,RO,18,665384,2.705204814062256
2014,Masculino,AP,18,258091,6.9742842640774
2015,Masculino,PB,18,1437557,1.2521242635944174
2018,Masculino,AM,18,1436331,1.2531930314112834
2013,Feminino,PI,17,1243377,1.3672442067048047
2018,Masculino,PI,17,1201187,1.4152667319909389
2019,Masculino,RO,17,687404,2.473072603592647
2013,Masculino,PB,17,1406167,1.208960244409092
2015,Masculino,RN,17,1262434,1.3466050502442106
2014,Masculino,PB,16,1422067,1.1251227966052233
2017,Feminino,AC,16,298781,5.355092860657137
2015,Feminino,SE,16,879562,1.819087227506418
2013,Masculino,RN,15,1224146,1.2253440357604404
2019,Masculino,MA,15,2531188,0.5926071078086653
2014,Feminino,AL,15,1254399,1.1957917696044083
2016,Feminino,MA,15,2582127,0.5809164305241377
2016,Feminino,RO,15,642485,2.3346848564557927
2014,Feminino,PB,15,1569450,0.9557488292076842
2018,Masculino,MT,15,1330673,1.1272491438542753
2019,Masculino,PI,15,1208013,1.2417084915476904
2017,Masculino,MT,15,1312385,1.1429572876861591
2013,Feminino,MT,15,1189482,1.2610531306905024
2016,Feminino,PI,15,1286745,1.1657321380693144
2015,Masculino,MT,14,1274827,1.0981882247552022
2013,Masculino,MT,14,1232846,1.1355838442108745
2018,Feminino,MA,14,2649907,0.5283204278489774
2013,Feminino,AL,14,1234734,1.1338474521637858
2019,Masculino,SE,14,843619,1.6595169146261524
2014,Feminino,PI,13,1257813,1.033539961822624
2016,Feminino,MT,13,1255503,1.0354415720233245
2013,Masculino,PA,13,2833315,0.4588264982891066
2019,Feminino,TO,13,592220,2.1951301881057717
2017,Masculino,RO,13,667898,1.9464049899835005
2017,Masculino,AM,13,1406827,0.9240652901884879
2013,Masculino,MS,12,969058,1.2383159728313475
2017,Masculino,SE,12,822914,1.4582325735131496
2016,Masculino,AL,12,1152817,1.0409284387721556
2018,Feminino,AC,12,306399,3.9164618683481343
2013,Feminino,PA,12,2826017,0.4246258957394807
2018,Masculino,MA,12,2500973,0.47981325668049996
2019,Feminino,AP,12,304204,3.9447213054397707
2014,Masculino,MT,12,1254203,0.9567829131328821
2013,Feminino,PB,12,1550988,0.7737003767920835
